Year,P_L,ET,P_O,E,T,T_L,T_O,P_TOT,E_TOT,PpE,PmE,dT,dPpE,dPmE,period,mean_PpE,mean_PmE
1836,2.046764,1.383288,3.412363,3.869073,14.40402,9.020691,16.56744,3.019266,3.153463,6.172729,-0.134197,-0.817386000000001,-0.170225333333333,0.0436760000000002,1810-1840,6.1677035,-0.12938
1837,2.070508,1.395213,3.400247,3.84773,14.43448,9.025299,16.60837,3.017475,3.141701,6.159176,-0.124226,-0.786925999999999,-0.183778333333333,0.0536470000000003,1810-1840,6.1677035,-0.12938
1838,2.106241,1.414115,3.388365,3.845659,14.5878,9.389496,16.67639,3.019301,3.145665,6.164966,-0.126364,-0.633606,-0.177988333333333,0.0515089999999999,1810-1840,6.1677035,-0.12938
1839,2.123199,1.413348,3.383338,3.856743,14.56097,9.296295,16.67639,3.020605,3.153338,6.173943,-0.132733,-0.660436000000001,-0.169011333333333,0.0451400000000001,1810-1840,6.1677035,-0.12938
1840,2.10097,1.408844,3.402207,3.882736,14.51224,9.216583,16.6402,3.027641,3.170552,6.198193,-0.142911,-0.709166,-0.144761333333333,0.0349620000000003,1840-1870,6.2006408,-0.144100466666667
1841,2.13455,1.418778,3.389987,3.863287,14.50366,9.160828,16.6507,3.028608,3.159562,6.18817,-0.130954,-0.717746,-0.154784333333333,0.046919,1840-1870,6.2006408,-0.144100466666667
1842,2.1486,1.42026,3.391622,3.878028,14.47391,9.066101,16.64722,3.033818,3.170486,6.204304,-0.136668,-0.747496,-0.138650333333333,0.0412050000000003,1840-1870,6.2006408,-0.144100466666667
1843,2.106734,1.413354,3.393597,3.859011,14.49561,9.109497,16.66016,3.02317,3.154955,6.178125,-0.131785,-0.725796000000001,-0.164829333333333,0.0460879999999998,1840-1870,6.2006408,-0.144100466666667
1844,2.147016,1.414113,3.376965,3.85969,14.45325,8.978851,16.6535,3.022925,3.155657,6.178582,-0.132732,-0.768155999999999,-0.164372333333333,0.0451409999999998,1840-1870,6.2006408,-0.144100466666667
1845,2.109227,1.404591,3.391872,3.858019,14.41992,8.886383,16.6441,3.022659,3.151726,6.174385,-0.129067,-0.801486000000001,-0.168569333333333,0.048806,1840-1870,6.2006408,-0.144100466666667
1846,2.103904,1.417887,3.410161,3.882545,14.59702,9.268097,16.73843,3.03415,3.173019,6.207169,-0.138869,-0.624385999999999,-0.135785333333333,0.0390039999999999,1840-1870,6.2006408,-0.144100466666667
1847,2.072867,1.413502,3.423939,3.876855,14.55887,9.148621,16.73315,3.035025,3.167704,6.202729,-0.132679,-0.662535999999999,-0.140225333333333,0.0451940000000001,1840-1870,6.2006408,-0.144100466666667
1848,2.120963,1.414279,3.401134,3.862751,14.54465,9.193787,16.69495,3.032634,3.157884,6.190518,-0.12525,-0.676755999999999,-0.152436333333333,0.0526229999999998,1840-1870,6.2006408,-0.144100466666667
