Year,P,PmE,T,P_L,P_O,PmE_L,PmE_O,T_L,T_O,E,PpE,dT,dPpE,dPmE,period,mean_PpE,mean_PmE
1900,2.787776,-0.01978695,13.0061,1.740971,3.207041,0.4950225,-0.2260113,7.362732,15.26163,2.80756295,5.59533895,-0.450018666666667,-0.0947546996666659,0.001842633,1900-1930,5.552864285333333,-0.022961085333333332
1901,2.77995,-0.01992235,12.8714,1.763427,3.187084,0.5150324,-0.2342169,7.100861,15.17786,2.79987235,5.57982235,-0.584718666666667,-0.110271299666667,0.001707233,1900-1930,5.552864285333333,-0.022961085333333332
1902,2.775904,-0.02209821,12.82755,1.740985,3.190407,0.4955376,-0.2294547,7.106232,15.11426,2.79800221,5.57390621,-0.628568666666666,-0.116187439666666,-4.6862699999999e-4,1900-1930,5.552864285333333,-0.022961085333333332
1903,2.773737,-0.01584703,12.66165,1.778205,3.172462,0.52566329999999994,-0.2327676,6.861786,14.97986,2.78958403,5.56332103,-0.794468666666667,-0.126772619666665,0.005782553,1900-1930,5.552864285333333,-0.022961085333333332
1904,2.748739,-0.02307822,12.55005,1.731318,3.156232,0.478993,-0.2242001,6.657257,14.90549,2.77181722,5.52055622,-0.906068666666666,-0.169537429666667,-0.001448637,1900-1930,5.552864285333333,-0.022961085333333332
1905,2.755805,-0.02397796,12.7384,1.700703,3.178394,0.4651911,-0.219931,6.881317,15.07956,2.77978296,5.53558796,-0.717718666666666,-0.154505689666666,-0.002348377,1900-1930,5.552864285333333,-0.022961085333333332
1906,2.775099,-0.02309252,12.82065,1.722254,3.196783,0.47457,-0.2224482,7.164062,15.081480000000001,2.79819152,5.57329052,-0.635468666666666,-0.116803129666666,-0.001462937,1900-1930,5.552864285333333,-0.022961085333333332
1907,2.742838,-0.02242365,12.64151,1.705761,3.158207,0.4758434,-0.2220215,6.725189,15.00638,2.76526165,5.50809965,-0.814608666666667,-0.181993999666666,-7.9406699999999e-4,1900-1930,5.552864285333333,-0.022961085333333332
1908,2.738201,-0.02386387,12.60263,1.749761,3.134087,0.5015134,-0.2343215,6.746582,14.94336,2.76206487,5.50026587,-0.853488666666667,-0.189827779666667,-0.002234287,1900-1930,5.552864285333333,-0.022961085333333332
1909,2.742702,-0.01858512,12.56259,1.778008,3.129075,0.5145882,-0.2321659,6.774384,14.87613,2.76128712,5.50398912,-0.893528666666667,-0.186104529666666,0.003044463,1900-1930,5.552864285333333,-0.022961085333333332
1910,2.732744,-0.01942615,12.52216,1.791739,3.109628,0.522381,-0.2364655,6.703949,14.84772,2.75217015,5.48491415,-0.933958666666667,-0.205179499666666,0.002203433,1900-1930,5.552864285333333,-0.022961085333333332
1911,2.727247,-0.02594343,12.52567,1.741976,3.121862,0.4911745,-0.2330925,6.645996,14.87585,2.75319043,5.48043743,-0.930448666666667,-0.209656219666666,-0.004313847,1900-1930,5.552864285333333,-0.022961085333333332
1912,2.752616,-0.022576390000000002,12.68506,1.721854,3.165454,0.4735298,-0.2213087,6.827728,15.02631,2.77519239,5.52780839,-0.771058666666667,-0.162285259666666,-9.46807e-4,1900-1930,5.552864285333333,-0.022961085333333332
1913,2.726352,-0.02662417,12.61261,1.731955,3.124624,0.4929323,-0.2347499,6.819611,14.92807,2.75297617,5.47932817,-0.843508666666667,-0.210765479666667,-0.004994587,1900-1930,5.552864285333333,-0.022961085333333332
