Year,P,E,T,PpE,PmE,dT,dPpE,dPmE,period,mean_PpE,mean_PmE,P_L,E_L,P_O,E_O
1950,2.8085,2.739558,13.27512,5.548058,0.068942,-0.548142,-0.202741633,0.025818167,1930-1960,5.5838501,0.0680987,2.226333,1.333589,3.048047,3.311739
1951,2.819467,2.748793,13.4288,5.56826,0.070674,-0.394462,-0.182539633,0.027550167,1930-1960,5.5838501,0.0680987,2.110331,1.332761,3.110540,3.325066
1952,2.833418,2.761679,13.38403,5.595097,0.071739,-0.439232,-0.155702633,0.028615167,1930-1960,5.5838501,0.0680987,2.161897,1.337541,3.109241,3.341247
1953,2.841359,2.779626,13.44897,5.620985,0.061733,-0.374292,-0.129814633,0.018609167,1930-1960,5.5838501,0.0680987,2.245797,1.393175,3.086373,3.343917
1954,2.843975,2.781948,13.23523,5.625923,0.062027,-0.588032,-0.124876633,0.018903167,1930-1960,5.5838501,0.0680987,2.182336,1.357543,3.115790,3.361621
1955,2.828617,2.760867,13.21399,5.589484,0.06775,-0.609272,-0.161315633,0.024626167,1930-1960,5.5838501,0.0680987,2.258571,1.388537,3.063280,3.319409
1956,2.809899,2.74109,13.16681,5.550989,0.068809,-0.656452,-0.199810633,0.025685167,1930-1960,5.5838501,0.0680987,2.286313,1.377741,3.025692,3.295970
1957,2.825459,2.752558,13.41257,5.578017,0.072901,-0.410692,-0.172782633,0.029777167,1930-1960,5.5838501,0.0680987,2.254733,1.394292,3.060383,3.305399
1958,2.827519,2.75462,13.51782,5.582139,0.072899,-0.305442,-0.168660633,0.029775167,1930-1960,5.5838501,0.0680987,2.237602,1.418995,3.070236,3.298288
1959,2.821531,2.758018,13.47519,5.579549,0.063513,-0.348072,-0.171250633,0.020389167,1930-1960,5.5838501,0.0680987,2.198559,1.399744,3.077645,3.310859
1960,2.822532,2.755111,13.42935,5.577643,0.067421,-0.393912,-0.173156633,0.024297167,1960-1990,5.6586299,0.0888781,2.200628,1.395078,3.078220,3.308677
1961,2.845878,2.795698,13.50369,5.641576,0.05018,-0.319572,-0.109223633,0.007056167,1960-1990,5.6586299,0.0888781,2.150179,1.380229,3.131511,3.371764
1962,2.825113,2.769981,13.41959,5.595094,0.055132,-0.403672,-0.155705633,0.012008167,1960-1990,5.6586299,0.0888781,2.213770,1.390175,3.076522,3.331576
1963,2.868688,2.807138,13.46359,5.675826,0.06155,-0.359672,-0.074973633,0.018426167,1960-1990,5.6586299,0.0888781,2.197721,1.404655,3.144302,3.377938
1964,2.868405,2.799541,13.23346,5.667946,0.068864,-0.589802,-0.082853633,0.025740167,1960-1990,5.6586299,0.0888781,2.204592,1.372441,3.141117,3.380316
1965,2.852896,2.791173,13.34354,5.644069,0.061723,-0.479722,-0.106730633,0.018599167,1960-1990,5.6586299,0.0888781,2.074936,1.333886,3.171894,3.384196
1966,2.865313,2.798473,13.40887,5.663786,0.06684,-0.414392,-0.087013633,0.023716167,1960-1990,5.6586299,0.0888781,2.148960,1.347037,3.159334,3.389123
1967,2.894607,2.815216,13.40326,5.709823,0.079391,-0.420002,-0.040976633,0.036267167,1960-1990,5.6586299,0.0888781,2.286314,1.410162,3.144815,3.387064
1968,2.874549,2.794717,13.33478,5.669266,0.079832,-0.488482,-0.081533633,0.036708167,1960-1990,5.6586299,0.0888781,2.264202,1.405201,3.125580,3.360248
1969,2.894705,2.825715,13.466,5.72042,0.06899,-0.357262,-0.030379633,0.025866167,1960-1990,5.6586299,0.0888781,2.208385,1.409060,3.176559,3.402275
1970,2.876772,2.794263,13.44504,5.671035,0.082509,-0.378222,-0.079764633,0.039385167,1960-1990,5.6586299,0.0888781,2.264189,1.397042,3.128709,3.362916
1971,2.874849,2.772738,13.2894,5.647587,0.102111,-0.533862,-0.103212633,0.058987167,1960-1990,5.6586299,0.0888781,2.321850,1.406180,3.102621,3.328957
1972,2.908128,2.780457,13.41663,5.688585,0.127671,-0.406632,-0.062214633,0.084547167,1960-1990,5.6586299,0.0888781,2.286290,1.409211,3.163840,3.338573
1973,2.92505,2.803342,13.51697,5.728392,0.121708,-0.306292,-0.022407633,0.078584167,1960-1990,5.6586299,0.0888781,2.396936,1.432141,3.142755,3.361445
1974,2.882683,2.781936,13.26321,5.664619,0.100747,-0.560052,-0.086180633,0.057623167,1960-1990,5.6586299,0.0888781,2.359987,1.444869,3.098169,3.326206
1975,2.872467,2.779371,13.29498,5.651838,0.093096,-0.528282,-0.098961633,0.049972167,1960-1990,5.6586299,0.0888781,2.358200,1.430915,3.084529,3.328249
1976,2.839619,2.753652,13.22119,5.593271,0.085967,-0.602072,-0.157528633,0.042843167,1960-1990,5.6586299,0.0888781,2.286521,1.427595,3.067413,3.293436
1977,2.868834,2.781193,13.50076,5.650027,0.087641,-0.322502,-0.100772633,0.044517167,1960-1990,5.6586299,0.0888781,2.323552,1.438266,3.093472,3.327832
1978,2.864017,2.772457,13.43597,5.636474,0.09156,-0.387292,-0.114325633,0.048436167,1960-1990,5.6586299,0.0888781,2.356720,1.449184,3.073244,3.311114
1979,2.868018,2.759617,13.58734,5.627635,0.108401,-0.235922,-0.123164633,0.065277167,1960-1990,5.6586299,0.0888781,2.319727,1.443995,3.093877,3.295156
1980,2.905263,2.781277,13.71848,5.68654,0.123986,-0.104782,-0.064259633,0.080862167,1960-1990,5.6586299,0.0888781,2.279982,1.418656,3.162367,3.335913
1981,2.89527,2.782277,13.75183,5.677547,0.112993,-0.071432,-0.073252633,0.069869167,1960-1990,5.6586299,0.0888781,2.330608,1.449295,3.127779,3.324895
1982,2.894408,2.801806,13.5527,5.696214,0.092602,-0.270562,-0.054585633,0.049478167,1960-1990,5.6586299,0.0888781,2.285747,1.426501,3.144763,3.361579
1983,2.903705,2.797485,13.74744,5.70119,0.10622,-0.075822,-0.049609633,0.063096167,1960-1990,5.6586299,0.0888781,2.305299,1.425477,3.149913,3.355922
