Year,P,PmE,T,E,PpE,dT,dPpE,dPmE,period,mean_PpE,mean_PmE
1948,2.752618,-0.01743399,14.39119,2.77005199,5.52266999,-0.249689999999999,-0.0738454226666665,0.0308892893333333,1930-1960,5.720733808333334,-0.012249975
1949,2.848131,-0.0111188,14.42978,2.8592498,5.7073808,-0.2111,0.110865387333334,0.0372044793333333,1930-1960,5.720733808333334,-0.012249975
1950,2.853008,0.002850252,14.33585,2.850157748,5.703165748,-0.305029999999999,0.106650335333334,0.0511735313333333,1930-1960,5.720733808333334,-0.012249975
1951,2.84164,-0.00430898,14.47745,2.84594898,5.68758898,-0.16343,0.0910735673333329,0.0440142993333333,1930-1960,5.720733808333334,-0.012249975
1952,2.881156,0.005380681,14.57309,2.875775319,5.756931319,-0.0677899999999987,0.160415906333333,0.0537039603333333,1930-1960,5.720733808333334,-0.012249975
1953,2.864131,0.00497941,14.60872,2.85915159,5.72328259,-0.0321599999999993,0.126767177333334,0.0533026893333333,1930-1960,5.720733808333334,-0.012249975
1954,2.822432,-0.009378023,14.30611,2.831810023,5.654242023,-0.334769999999999,0.0577266103333338,0.0389452563333333,1930-1960,5.720733808333334,-0.012249975
1955,2.831877,-0.01112189,14.3048,2.84299889,5.67487589,-0.336079999999999,0.0783604773333337,0.0372013893333333,1930-1960,5.720733808333334,-0.012249975
1956,2.823466,-0.02071305,14.24234,2.84417905,5.66764505,-0.398539999999999,0.0711296373333328,0.0276102293333333,1930-1960,5.720733808333334,-0.012249975
1957,2.903944,-0.02231012,14.57108,2.92625412,5.83019812,-0.069799999999999,0.233682707333334,0.0260131593333333,1930-1960,5.720733808333334,-0.012249975
1958,2.914734,-0.030152290000000002,14.58486,2.94488629,5.85962029,-0.0560199999999984,0.263104877333334,0.0181709893333333,1930-1960,5.720733808333334,-0.012249975
1959,2.913766,-0.0336729,14.51996,2.9474389,5.8612049,-0.12092,0.264689487333333,0.0146503793333333,1930-1960,5.720733808333334,-0.012249975
1960,2.911063,-0.04785008,14.4154,2.95891308,5.86997608,-0.225479999999999,0.273460667333334,4.7319933333332e-4,1960-1990,5.572424605666667,-0.062464272333333334
1961,2.916548,-0.05999602,14.42793,2.97654402,5.89309202,-0.212949999999999,0.296576607333334,-0.0116727406666667,1960-1990,5.572424605666667,-0.062464272333333334
1962,2.843644,-0.08072507,14.37607,2.92436907,5.76801307,-0.264809999999999,0.171497657333334,-0.0324017906666667,1960-1990,5.572424605666667,-0.062464272333333334
1963,2.872957,-0.09590589,14.42383,2.96886289,5.84181989,-0.217049999999999,0.245304477333334,-0.0475826106666667,1960-1990,5.572424605666667,-0.062464272333333334
1964,2.737704,-0.1063,14.13798,2.844004,5.581708,-0.502899999999999,-0.0148074126666664,-0.0579767206666667,1960-1990,5.572424605666667,-0.062464272333333334
1965,2.715003,-0.1255982,14.20951,2.8406012,5.5556042,-0.431369999999999,-0.0409112126666669,-0.0772749206666667,1960-1990,5.572424605666667,-0.062464272333333334
1966,2.746635,-0.1219971,14.30958,2.8686321,5.6152671,-0.331299999999999,0.0187516873333342,-0.0736738206666667,1960-1990,5.572424605666667,-0.062464272333333334
1967,2.764523,-0.08948756,14.30683,2.85401056,5.61853356,-0.33405,0.0220181473333332,-0.0411642806666667,1960-1990,5.572424605666667,-0.062464272333333334
1968,2.76813,-0.07805292,14.31215,2.84618292,5.61431292,-0.328729999999998,0.0177975073333343,-0.0297296406666667,1960-1990,5.572424605666667,-0.062464272333333334
1969,2.813354,-0.07633802,14.45835,2.88969202,5.70304602,-0.18253,0.106530607333334,-0.0280147406666667,1960-1990,5.572424605666667,-0.062464272333333334
1970,2.783433,-0.06943215,14.38541,2.85286515,5.63629815,-0.255469999999999,0.0397827373333337,-0.0211088706666667,1960-1990,5.572424605666667,-0.062464272333333334
1971,2.708417,-0.07086308,14.16658,2.77928008,5.48769708,-0.474299999999999,-0.108818332666666,-0.0225398006666667,1960-1990,5.572424605666667,-0.062464272333333334
1972,2.789638,-0.05848951,14.35685,2.84812751,5.63776551,-0.28403,0.0412500973333332,-0.0101662306666667,1960-1990,5.572424605666667,-0.062464272333333334
