Year,T,P,E
1950,13.291675833333333,1025.28892,999.934653
1951,13.408555,1029.360185,1003.448384
1952,13.389515,1037.216745,1010.875117
1953,13.4303325,1037.378246,1014.761373
1954,13.244868333333333,1038.459311,1015.703069
1955,13.233935,1032.629525,1007.702533
1956,13.179853333333334,1028.606866,1003.255928
1957,13.402671666666667,1031.47229,1004.754326
1958,13.524561666666667,1032.07494,1005.404332
1959,13.472856666666667,1030.025343,1006.79079
1960,13.4223475,1033.167476,1008.426276
1961,13.497141666666666,1038.906483,1020.428895
1962,13.4251,1031.380477,1011.214347
1963,13.46732,1047.401973,1024.878066
1964,13.257770833333334,1049.890653,1024.617733
1965,13.32639,1041.478847,1018.869621
1966,13.396750833333334,1045.890216,1021.4440440000001
1967,13.408795833333333,1056.722808,1027.642453
1968,13.324560833333333,1052.257428,1022.9441830000001
1969,13.462919166666666,1056.64578,1031.390395
1970,13.463619166666668,1050.134862,1019.8581829999999
1971,13.301101666666666,1049.605403,1012.138484
1972,13.406068333333334,1064.607639,1017.716812
1973,13.527781666666666,1067.645979,1023.100261
1974,13.269758333333334,1052.427866,1015.332688
1975,13.307206666666666,1048.636794,1014.570076
1976,13.223215,1039.459727,1007.85514
1977,13.4974275,1047.271787,1015.110426
1978,13.4434,1045.5907379999999,1012.052201
1979,13.591638333333334,1046.906583,1007.249232
1980,13.723503333333333,1063.494216,1017.9449480000001
1981,13.755379166666668,1056.822388,1015.5599119999999
1982,13.545555,1056.658271,1022.862007
1983,13.74951,1059.947238,1021.098954
1984,13.536038333333334,1050.897802,1010.383549
1985,13.505549166666666,1048.023067,1006.077599
1986,13.5924975,1050.266792,1009.09475
1987,13.7396975,1053.432172,1021.301249
1988,13.8079075,1052.46195,1025.841577
1989,13.666896666666666,1037.336389,1011.307661
1990,13.9111325,1044.301937,1021.722904
1991,13.858018333333334,1036.9041849999999,1015.2414
1992,13.616760833333334,1030.454529,1016.708724
1993,13.641346666666667,1032.526841,1017.773788
1994,13.699016666666667,1035.23524,1015.0727
1995,13.890379166666667,1044.383755,1034.911053
1996,13.749585833333333,1049.931818,1039.322508
1997,13.865513333333332,1056.456584,1053.915951
1998,14.116683333333333,1075.71443,1073.7211790000001
1999,13.784831666666667,1051.413202,1057.275184
2000,13.786019166666666,1070.660232,1064.153026
2001,13.956480833333334,1069.039271,1063.9542569999999
2002,14.056824166666667,1071.071259,1062.1536
2003,14.044593333333333,1074.722781,1067.150732
2004,13.981265833333334,1075.160589,1071.80048
2005,14.141151666666667,1069.660376,1068.033187
2006,14.081624166666668,1074.287942,1072.115885
2007,14.089908333333334,1079.864829,1076.351209
2008,13.923680833333334,1076.165071,1072.632131
2009,14.089189166666667,1075.39528,1075.293388
2010,14.212894166666667,1088.026097,1089.148248
2011,14.031013333333334,1078.060344,1077.092639
2012,14.086199166666667,1074.0808690000001,1073.0896050000001
2013,14.12227,1077.614425,1072.555669
2014,14.162261666666668,1077.569304,1075.784425
2015,14.331586666666666,1082.042046,1073.965904
2016,14.5320875,1094.260613,1077.006353
2017,14.409576666666666,1088.747345,1069.2218560000001
2018,14.330756666666666,1083.596842,1062.6514769999999
2019,14.47819,1082.786211,1057.324926
2020,14.529580833333334,1080.124436,1074.453322
2021,14.338866666666666,1065.464794,1076.638641
