Year,P
1979,974.909272
1980,967.1793720000001
1981,978.8394
1982,991.853274
1983,984.377732
1984,992.116811
1985,984.428108
1986,971.6735649999999
1987,980.18063
1988,990.5161340000001
1989,976.1653719999999
1990,979.209652
1991,963.718109
1992,973.138161
1993,982.3135130000001
1994,970.579481
1995,977.653863
1996,982.900321
1997,984.077048
1998,998.909689
1999,971.32098
2000,981.21173
2001,976.2160749999999
2002,987.212757
2003,989.576697
2004,989.575765
2005,994.089975
2006,994.469078
2007,988.374043
2008,978.922673
2009,984.822142
2010,997.34767
2011,976.92489
2012,978.3334199999999
2013,985.199163
2014,974.509391
2015,994.559336
2016,998.910322
2017,985.7049939999999
2018,972.328155
2019,978.7649739999999
2020,980.46965
