Year,T,P,E
1948,14.3911975,1007.756586,1014.111407525
1949,14.429784999999999,1039.820976,1043.80799491
1950,14.335856666666666,1041.621223,1040.4909324100001
1951,14.477459166666668,1037.508082,1039.0077281620001
1952,14.573099166666667,1054.706587,1052.729329328
1953,14.608722499999999,1045.619213,1043.687811267
1954,14.306114166666667,1030.294868,1033.75353974
1955,14.304809166666667,1033.759713,1037.70350196
1956,14.242350833333333,1033.580114,1041.054239095
1957,14.571085,1060.28026,1068.32070114
1958,14.584866666666667,1064.343806,1075.2316897
1959,14.51997,1063.906454,1076.1232202400001
1960,14.41541,1065.660335,1083.120427138
1961,14.427940833333333,1064.673724,1086.52013681609
1962,14.376071666666666,1038.361214,1067.8174907100001
1963,14.423835833333333,1048.939109,1083.88129522
1964,14.137980833333334,1002.126248,1040.99683334
1965,14.2095175,991.287425,1037.09389612
1966,14.309585833333333,1002.809683,1047.24605974
1967,14.306835833333333,1009.31633,1041.89279344
1968,14.31216,1013.4161780000001,1041.94271243
1969,14.458351666666667,1027.081199,1054.89191135
1970,14.3854125,1016.103901,1041.2833083360001
1971,14.166584166666667,988.618685,1014.48335618
1972,14.356859166666666,1021.149983,1042.470299467
1973,14.44196,1036.385514,1044.8081622490001
1974,14.157208333333333,1016.649202,1026.46006799
1975,14.183878333333332,996.574541,1010.415458391
1976,14.109184166666667,983.03289,1000.0683455
1977,14.437876666666666,988.966629,1002.66980192
1978,14.3512425,977.0292,994.70574456
1979,14.465815833333334,986.562787,998.52307666
1980,14.661045833333333,995.1254,1023.091363958
1981,14.619599166666667,976.250031,1008.46002064
1982,14.349755,980.309849,1009.2750731835
1983,14.546058333333333,985.332808,1013.2621553946001
1984,14.388090833333333,990.103633,1008.14034167
1985,14.362110833333332,984.543105,1003.37635358
1986,14.447495833333333,1004.202995,1011.94191253
1987,14.545685833333334,1000.621122,1013.6193453
1988,14.598680833333333,1007.9318460000001,1017.8209376
1989,14.463316666666667,995.681818,1007.3551892200001
1990,14.652268333333334,991.715247,1023.116756764
1991,14.650156666666666,983.203369,1013.74444223
1992,14.425076666666667,997.906888,1026.149563183
1993,14.366679166666668,1004.3517410000001,1023.158220676
1994,14.440586666666666,1006.761134,1028.565517218
1995,14.637841666666667,1018.909877,1036.47496185
1996,14.5126075,1035.1192839999999,1048.296012378
1997,14.6904075,1033.392727,1043.777997152
1998,14.883795,1039.76583,1051.58940297
1999,14.617015,1026.03919,1036.873809662
2000,14.617818333333334,1032.8442440000001,1052.077256744
2001,14.781740000000001,1034.303687,1047.35725988
2002,14.843913333333333,1033.534076,1047.75279445
2003,14.863968333333334,1029.124835,1049.026812041
2004,14.782156666666667,1032.3094449999999,1054.569982534
2005,14.9549025,1016.496358,1042.422239705
2006,14.858434166666667,1026.8759830000001,1043.29908729
2007,14.833448333333333,1036.028208,1044.024776925
2008,14.708995,1025.154997,1036.030488413
2009,14.863705833333333,1029.572794,1037.594656544
2010,14.920288333333334,1042.234312,1048.8568449699999
2011,14.780481666666667,1038.007807,1041.59244958
2012,14.8292725,1043.0079839999999,1044.178557336
2013,14.8676925,1040.7365340000001,1041.75667202
2014,14.925278333333333,1044.047692,1047.4992285008
2015,15.0617175,1050.440566,1056.74624512216
2016,15.246474166666665,1045.262985,1047.225782135
2017,15.126536666666667,1044.960869,1052.35274565
2018,15.020370833333333,1047.897049,1044.966349376
2019,15.124213333333334,1026.604794,1032.5407129129999
2020,14.919900833333333,1014.449709,1017.4020836271
2021,14.832495833333333,1036.434447,1036.265937815
