Year,T,P,E,PpE,PmE
1836,14.411620833333334,1105.099463,1154.197056,2259.296519,-49.09759299999996
1837,14.442084166666667,1101.523669,1146.827418,2248.351087,-45.30374900000015
1838,14.595392499999999,1102.000598,1148.128253,2250.1288510000004,-46.127655000000004
1839,14.568563333333334,1102.641505,1151.00121,2253.642715,-48.35970499999985
1840,14.519835833333333,1108.204044,1160.470916,2268.6749600000003,-52.26687199999992
1841,14.511261666666666,1105.536325,1153.386186,2258.9225109999998,-47.84986099999992
1842,14.4815025,1107.4861,1157.372865,2264.8589650000004,-49.88676499999997
1843,14.503209166666666,1103.510888,1151.661955,2255.1728430000003,-48.15106700000001
1844,14.460855833333333,1106.481104,1155.041868,2261.5229719999998,-48.56076400000006
1845,14.42754,1103.334587,1150.485242,2253.819829,-47.150654999999915
1846,14.604623333333333,1107.5975680000001,1158.28372,2265.881288,-50.686151999999765
1847,14.566465833333334,1107.860277,1156.306124,2264.166401,-48.44584699999996
1848,14.552256666666667,1110.030237,1155.852632,2265.882869,-45.82239500000014
1849,14.541619166666667,1102.427183,1150.943851,2253.371034,-48.51666799999998
1850,14.6238275,1105.402063,1159.492392,2264.894455,-54.09032900000011
1851,14.672429166666667,1103.304626,1158.811403,2262.116029,-55.50677699999983
1852,14.709209166666668,1112.825628,1164.0412469999999,2276.8668749999997,-51.21561899999983
1853,14.711170833333334,1106.172814,1157.969489,2264.142303,-51.79667500000005
1854,14.745318333333334,1107.43605,1160.592791,2268.0288410000003,-53.15674100000001
1855,14.772649166666667,1097.766826,1150.946462,2248.713288,-53.17963600000007
1856,14.598716666666666,1104.342768,1166.259065,2270.6018329999997,-61.916296999999986
1857,14.591003333333333,1091.33225,1152.770888,2244.103138,-61.43863800000008
1858,14.632863333333333,1097.052528,1153.782306,2250.8348340000002,-56.729778000000124
1859,14.684389166666666,1096.453314,1156.543786,2252.9971,-60.09047199999986
1860,14.743999166666667,1109.086446,1161.027382,2270.113828,-51.940935999999965
1861,14.678996666666666,1104.26909,1157.677805,2261.946895,-53.40871500000003
1862,14.639203333333333,1108.752119,1165.1076699999999,2273.859789,-56.35555099999988
1863,14.737949166666667,1109.723705,1157.264785,2266.98849,-47.541079999999965
1864,14.716614166666666,1106.020828,1160.322952,2266.34378,-54.30212400000005
1865,14.7693525,1112.813075,1164.630567,2277.443642,-51.8174919999999
1866,14.7670075,1115.7439279999999,1168.696105,2284.440033,-52.95217700000012
1867,14.760730833333334,1104.408248,1166.815112,2271.22336,-62.40686400000004
1868,14.817724166666666,1112.169245,1164.223816,2276.3930609999998,-52.054570999999896
1869,14.83532,1119.359558,1168.74482,2288.104378,-49.385261999999784
1870,14.780379166666666,1112.577299,1166.362735,2278.940034,-53.78543599999989
1871,14.655438333333333,1105.839026,1159.665113,2265.504139,-53.826086999999916
1872,14.687977499999999,1109.448792,1158.3548799999999,2267.803672,-48.906087999999954
1873,14.666706666666666,1102.209466,1152.760296,2254.9697619999997,-50.550829999999905
1874,14.590469166666667,1103.160337,1151.986026,2255.146363,-48.82568900000001
1875,14.651481666666667,1106.25356,1154.531233,2260.784793,-48.27767299999982
1876,14.635685,1107.189783,1153.988026,2261.177809,-46.79824299999996
1877,14.7806325,1110.590697,1167.165054,2277.755751,-56.574356999999964
1878,14.986198333333332,1119.948204,1172.09128,2292.039484,-52.143076000000065
1879,14.833091666666666,1117.236175,1164.417533,2281.653708,-47.181358000000046
1880,14.75824,1113.746145,1162.906908,2276.653053,-49.16076299999986
1881,14.832585833333333,1113.215,1166.894394,2280.109394,-53.679394
1882,14.7134325,1111.193194,1162.813284,2274.0064780000002,-51.62009000000012
1883,14.682656666666666,1101.013128,1163.716177,2264.729305,-62.703048999999965
1884,14.5767475,1093.071847,1163.033767,2256.105614,-69.96191999999996
1885,14.571241666666666,1096.130247,1162.2671070000001,2258.397354,-66.13686000000007
1886,14.647398333333333,1100.5240469999999,1168.8165960000001,2269.340643,-68.29254900000024
1887,14.558705833333333,1096.928147,1161.706261,2258.634408,-64.77811399999996
1888,14.719643333333334,1107.695958,1168.851005,2276.546963,-61.15504699999997
1889,14.789880833333333,1099.832249,1167.0138239999999,2266.8460729999997,-67.18157499999984
1890,14.496995,1097.404552,1153.895638,2251.30019,-56.491085999999996
1891,14.687016666666667,1108.994214,1163.56246,2272.5566740000004,-54.568246000000045
1892,14.58923,1110.824902,1161.604022,2272.428924,-50.77911999999992
1893,14.54461,1098.002737,1160.597072,2258.5998090000003,-62.594335
1894,14.562345833333334,1109.240276,1159.615623,2268.855899,-50.37534699999992
1895,14.667354166666666,1110.8727390000001,1157.877303,2268.750042,-47.004563999999846
1896,14.7884825,1110.573263,1168.203275,2278.776538,-57.63001200000008
1897,14.808125,1106.351138,1163.561515,2269.9126530000003,-57.21037700000011
1898,14.577723333333333,1102.115654,1157.4360689999999,2259.5517229999996,-55.32041499999991
1899,14.6897175,1105.421347,1160.196169,2265.6175160000003,-54.774822000000086
1900,14.781161666666666,1107.677248,1161.476925,2269.154173,-53.799676999999974
1901,14.712227500000001,1105.541931,1166.754477,2272.296408,-61.212545999999975
1902,14.581994166666666,1106.243756,1163.486938,2269.730694,-57.24318199999993
1903,14.402898333333333,1105.89546,1167.484684,2273.3801439999997,-61.58922400000006
1904,14.31047,1099.515632,1164.4231360000001,2263.938768,-64.90750400000002
1905,14.558403333333334,1102.047067,1155.185043,2257.23211,-53.13797599999998
1906,14.675865,1107.982046,1165.950648,2273.932694,-57.96860199999992
1907,14.490996666666668,1103.850248,1162.716078,2266.566326,-58.86582999999996
1908,14.467980833333334,1103.172059,1167.436004,2270.6080629999997,-64.26394499999992
1909,14.416139166666666,1100.607103,1165.507324,2266.114427,-64.90022099999987
1910,14.356736666666666,1094.72008,1160.140991,2254.8610710000003,-65.42091099999993
1911,14.4116425,1104.491278,1167.817389,2272.3086670000002,-63.32611100000008
1912,14.484598333333333,1114.134177,1172.567143,2286.70132,-58.43296600000008
1913,14.513809166666666,1098.281482,1160.45525,2258.7367320000003,-62.17376799999988
1914,14.626690833333333,1088.8027869999999,1168.293416,2257.096203,-79.49062900000013
1915,14.766811666666667,1107.043469,1179.619392,2286.662861,-72.5759230000001
1916,14.5610275,1105.770184,1176.6200470000001,2282.3902310000003,-70.84986300000014
1917,14.489293333333332,1081.277834,1163.423971,2244.7018049999997,-82.14613699999995
1918,14.590929166666667,1089.855378,1175.243079,2265.098457,-85.3877010000001
1919,14.687279166666666,1092.967827,1172.260491,2265.228318,-79.29266400000006
1920,14.679968333333333,1102.759524,1180.358952,2283.118476,-77.59942799999999
1921,14.6557725,1089.806749,1174.087437,2263.894186,-84.28068799999983
1922,14.594496666666666,1092.723305,1171.788223,2264.511528,-79.06491800000003
1923,14.647071666666667,1090.817842,1169.045646,2259.863488,-78.2278040000001
1924,14.612296666666667,1092.348132,1182.2961930000001,2274.644325,-89.94806100000005
1925,14.632209166666666,1086.076291,1175.393332,2261.469623,-89.31704100000002
1926,14.777010833333334,1100.708794,1180.88561,2281.594404,-80.17681600000014
1927,14.683400833333334,1092.8355,1173.5069839999999,2266.342484,-80.67148399999996
1928,14.723653333333333,1097.612111,1179.884057,2277.4961679999997,-82.27194600000007
1929,14.543479999999999,1097.036917,1174.424297,2271.461214,-77.38738000000012
1930,14.783833333333334,1085.295601,1177.322159,2262.61776,-92.02655800000002
1931,14.840975833333333,1097.582781,1180.82951,2278.412291,-83.24672899999996
1932,14.763036666666666,1097.4406159999999,1177.048613,2274.489229,-79.60799700000007
1933,14.642269166666667,1097.3007910000001,1163.746907,2261.0476980000003,-66.44611599999985
1934,14.701629166666667,1099.363703,1168.89954,2268.263243,-69.5358369999999
1935,14.75275,1093.015416,1171.965124,2264.98054,-78.9497080000001
1936,14.784604166666666,1107.261838,1172.350926,2279.612764,-65.08908800000017
1937,14.8727925,1101.168338,1166.291205,2267.459543,-65.12286700000004
1938,14.8603125,1109.507281,1171.924813,2281.432094,-62.417532000000165
1939,14.877804166666667,1102.618576,1171.413543,2274.032119,-68.79496699999982
1940,14.844394166666667,1117.429745,1170.679525,2288.10927,-53.2497800000001
1941,14.8920525,1114.677461,1182.043824,2296.721285,-67.36636300000009
1942,14.86138,1107.084521,1177.050722,2284.1352429999997,-69.96620099999996
1943,14.834198333333333,1106.6685400000001,1171.865297,2278.533837,-65.19675699999993
1944,15.085233333333333,1119.749784,1180.991317,2300.741101,-61.24153299999989
1945,15.0203375,1116.424969,1181.217201,2297.64217,-64.79223200000001
1946,14.8412625,1115.419537,1176.967014,2292.386551,-61.54747700000007
1947,14.784043333333333,1109.69805,1169.270762,2278.968812,-59.57271200000014
1948,14.735009166666666,1119.255094,1173.333445,2292.5885390000003,-54.078350999999884
1949,14.705665833333333,1101.237853,1169.636516,2270.874369,-68.39866299999994
1950,14.650331666666666,1104.353033,1164.717493,2269.0705260000004,-60.36446000000001
1951,14.750728333333333,1100.273754,1170.1435099999999,2270.4172639999997,-69.86975599999982
1952,14.804105833333333,1100.811184,1174.800883,2275.612067,-73.9896990000002
1953,14.906805,1102.523882,1175.235255,2277.759137,-72.7113730000001
1954,14.734545833333334,1108.133753,1178.283873,2286.4176260000004,-70.15012000000002
1955,14.6711425,1108.560902,1170.512959,2279.073861,-61.95205699999997
1956,14.626544166666667,1113.470625,1179.85099,2293.321615,-66.38036499999998
1957,14.878170833333334,1111.926751,1179.263393,2291.190144,-67.33664199999998
1958,14.892719166666666,1113.342178,1178.932373,2292.2745510000004,-65.590195
1959,14.8644475,1115.820641,1185.662746,2301.483387,-69.84210499999995
1960,14.829909166666667,1108.577086,1187.6547930000002,2296.231879,-79.07770700000015
1961,14.913623333333334,1115.129437,1187.732678,2302.862115,-72.60324100000003
1962,14.853449166666667,1107.9145700000001,1183.495412,2291.409982,-75.58084199999985
1963,14.883639166666667,1108.297974,1186.75919,2295.057164,-78.46121599999992
1964,14.6936375,1109.357633,1185.266473,2294.624106,-75.90883999999983
1965,14.754743333333334,1103.0918960000001,1184.026929,2287.1188250000005,-80.93503299999998
1966,14.816711666666667,1108.1409820000001,1184.313175,2292.454157,-76.17219299999988
1967,14.825198333333333,1110.110661,1189.639057,2299.749718,-79.52839600000016
1968,14.8533825,1107.864409,1185.979702,2293.8441110000003,-78.11529300000007
1969,14.986440833333333,1111.191908,1190.482473,2301.674381,-79.29056500000002
1970,14.932337500000001,1112.668115,1192.7074,2305.3755149999997,-80.03928500000006
1971,14.8251075,1105.411172,1176.533955,2281.945127,-71.12278300000003
1972,14.941004166666666,1105.391428,1190.893713,2296.285141,-85.50228500000003
1973,15.021365833333334,1117.877031,1192.205496,2310.082527,-74.32846500000005
1974,14.79936,1106.704867,1184.516699,2291.221566,-77.8118320000001
1975,14.8851975,1110.754547,1180.881528,2291.636075,-70.12698099999989
1976,14.7784325,1102.240545,1180.356343,2282.596888,-78.11579799999981
1977,15.043369166666666,1111.639743,1193.958086,2305.5978290000003,-82.31834300000014
1978,14.960678333333334,1114.788175,1187.859854,2302.648029,-73.07167900000013
1979,15.018359166666666,1117.88698,1176.574172,2294.461152,-58.687192000000096
1980,15.143004166666667,1122.224536,1187.585176,2309.809712,-65.3606400000001
1981,15.156415833333334,1117.005085,1195.687186,2312.692271,-78.6821010000001
1982,14.925120833333333,1108.743134,1188.421387,2297.164521,-79.67825300000004
1983,15.1139975,1115.128412,1194.371496,2309.499908,-79.24308399999995
1984,14.931,1111.896101,1191.56341,2303.459511,-79.66730899999993
1985,14.962555,1115.855135,1177.342707,2293.197842,-61.487572
1986,15.095543333333334,1121.049783,1184.3312660000001,2305.381049,-63.28148300000021
1987,15.1588175,1120.167428,1188.1875009999999,2308.354929,-68.02007299999991
1988,15.141639999999999,1130.293607,1195.571851,2325.865458,-65.27824399999986
1989,15.040637499999999,1117.592961,1185.094308,2302.687269,-67.5013469999999
1990,15.2870225,1127.085241,1190.433187,2317.5184280000003,-63.34794600000009
1991,15.1944175,1122.826687,1187.529142,2310.355829,-64.7024550000001
1992,14.97842,1123.07066,1187.916573,2310.987233,-64.84591299999988
1993,14.970375833333334,1118.550432,1182.654198,2301.20463,-64.10376599999995
1994,15.094071666666666,1126.267588,1179.367763,2305.635351,-53.100175000000036
1995,15.301278333333334,1127.091816,1181.002646,2308.094462,-53.910829999999805
1996,15.147170833333334,1130.167677,1192.646741,2322.814418,-62.47906400000011
1997,15.318019166666666,1125.743408,1189.357438,2315.1008460000003,-63.61402999999996
