Year,T,P,E,PpE,PmE
1950,13.291675833333333,1025.28892,999.934653,2025.223573,25.354266999999936
1951,13.408555,1029.360185,1003.448384,2032.808569,25.91180099999997
1952,13.389515,1037.216745,1010.875117,2048.091862,26.3416279999999
1953,13.4303325,1037.378246,1014.761373,2052.139619,22.61687299999994
1954,13.244868333333333,1038.459311,1015.703069,2054.16238,22.756242000000043
1955,13.233935,1032.629525,1007.702533,2040.332058,24.92699200000004
1956,13.179853333333334,1028.606866,1003.255928,2031.8627940000001,25.350938000000042
1957,13.402671666666667,1031.47229,1004.754326,2036.226616,26.717963999999938
1958,13.524561666666667,1032.07494,1005.404332,2037.479272,26.670608000000016
1959,13.472856666666667,1030.025343,1006.79079,2036.816133,23.234553000000005
1960,13.4223475,1033.167476,1008.426276,2041.5937520000002,24.74120000000005
1961,13.497141666666666,1038.906483,1020.428895,2059.3353779999998,18.47758799999997
1962,13.4251,1031.380477,1011.214347,2042.5948239999998,20.166129999999953
1963,13.46732,1047.401973,1024.878066,2072.280039,22.52390700000001
1964,13.257770833333334,1049.890653,1024.617733,2074.508386,25.272919999999885
1965,13.32639,1041.478847,1018.869621,2060.348468,22.609226000000035
1966,13.396750833333334,1045.890216,1021.4440440000001,2067.33426,24.446171999999933
1967,13.408795833333333,1056.722808,1027.642453,2084.365261,29.080355000000054
1968,13.324560833333333,1052.257428,1022.9441830000001,2075.201611,29.313244999999824
1969,13.462919166666666,1056.64578,1031.390395,2088.036175,25.25538500000016
1970,13.463619166666668,1050.134862,1019.8581829999999,2069.993045,30.276679000000172
1971,13.301101666666666,1049.605403,1012.138484,2061.743887,37.466919000000075
1972,13.406068333333334,1064.607639,1017.716812,2082.324451,46.89082700000006
1973,13.527781666666666,1067.645979,1023.100261,2090.74624,44.54571799999985
1974,13.269758333333334,1052.427866,1015.332688,2067.760554,37.09517800000003
1975,13.307206666666666,1048.636794,1014.570076,2063.20687,34.06671800000004
1976,13.223215,1039.459727,1007.85514,2047.314867,31.604586999999924
1977,13.4974275,1047.271787,1015.110426,2062.382213,32.16136099999994
1978,13.4434,1045.5907379999999,1012.052201,2057.642939,33.538536999999906
1979,13.591638333333334,1046.906583,1007.249232,2054.155815,39.65735099999995
1980,13.723503333333333,1063.494216,1017.9449480000001,2081.4391640000003,45.549267999999984
1981,13.755379166666668,1056.822388,1015.5599119999999,2072.3823,41.262476000000106
1982,13.545555,1056.658271,1022.862007,2079.520278,33.796264000000065
1983,13.74951,1059.947238,1021.098954,2081.046192,38.84828399999992
1984,13.536038333333334,1050.897802,1010.383549,2061.281351,40.51425299999994
1985,13.505549166666666,1048.023067,1006.077599,2054.1006660000003,41.94546800000012
1986,13.5924975,1050.266792,1009.09475,2059.3615419999996,41.17204199999992
1987,13.7396975,1053.432172,1021.301249,2074.733421,32.13092300000005
1988,13.8079075,1052.46195,1025.841577,2078.303527,26.620372999999972
1989,13.666896666666666,1037.336389,1011.307661,2048.64405,26.028728
1990,13.9111325,1044.301937,1021.722904,2066.024841,22.57903299999998
1991,13.858018333333334,1036.9041849999999,1015.2414,2052.1455849999998,21.66278499999987
1992,13.616760833333334,1030.454529,1016.708724,2047.1632530000002,13.745805000000132
1993,13.641346666666667,1032.526841,1017.773788,2050.3006290000003,14.753053000000136
1994,13.699016666666667,1035.23524,1015.0727,2050.30794,20.16253999999992
1995,13.890379166666667,1044.383755,1034.911053,2079.294808,9.472702000000027
1996,13.749585833333333,1049.931818,1039.322508,2089.254326,10.60931000000005
1997,13.865513333333332,1056.456584,1053.915951,2110.372535,2.5406330000000708
1998,14.116683333333333,1075.71443,1073.7211790000001,2149.435609,1.9932509999998729
1999,13.784831666666667,1051.413202,1057.275184,2108.688386,-5.8619820000001255
2000,13.786019166666666,1070.660232,1064.153026,2134.813258,6.5072059999999965
2001,13.956480833333334,1069.039271,1063.9542569999999,2132.993528,5.085014000000228
2002,14.056824166666667,1071.071259,1062.1536,2133.224859,8.917658999999958
2003,14.044593333333333,1074.722781,1067.150732,2141.873513,7.572048999999879
2004,13.981265833333334,1075.160589,1071.80048,2146.961069,3.360108999999966
2005,14.141151666666667,1069.660376,1068.033187,2137.693563,1.627189000000044
2006,14.081624166666668,1074.287942,1072.115885,2146.403827,2.1720569999999952
2007,14.089908333333334,1079.864829,1076.351209,2156.216038,3.5136200000001736
2008,13.923680833333334,1076.165071,1072.632131,2148.7972019999997,3.532939999999826
2009,14.089189166666667,1075.39528,1075.293388,2150.688668,0.10189199999990706
2010,14.212894166666667,1088.026097,1089.148248,2177.174345,-1.1221510000000308
2011,14.031013333333334,1078.060344,1077.092639,2155.152983,0.9677050000000236
2012,14.086199166666667,1074.0808690000001,1073.0896050000001,2147.1704740000005,0.991264000000001
2013,14.12227,1077.614425,1072.555669,2150.170094,5.058755999999903
2014,14.162261666666668,1077.569304,1075.784425,2153.3537290000004,1.7848790000000463
2015,14.331586666666666,1082.042046,1073.965904,2156.00795,8.076142000000118
2016,14.5320875,1094.260613,1077.006353,2171.266966,17.25425999999993
2017,14.409576666666666,1088.747345,1069.2218560000001,2157.969201,19.52548899999988
2018,14.330756666666666,1083.596842,1062.6514769999999,2146.248319,20.945365000000038
2019,14.47819,1082.786211,1057.324926,2140.111137,25.46128500000009
2020,14.529580833333334,1080.124436,1074.453322,2154.5777580000004,5.671113999999989
2021,14.338866666666666,1065.464794,1076.638641,2142.103435,-11.173847000000023
