Year,T,P,E,PpE,PmE
1948,14.3911975,1007.756586,1014.111407525,2021.867993525,-6.354821525000034
1949,14.429784999999999,1039.820976,1043.80799491,2083.62897091,-3.9870189099999607
1950,14.335856666666666,1041.621223,1040.4909324100001,2082.11215541,1.1302905899999587
1951,14.477459166666668,1037.508082,1039.0077281620001,2076.515810162,-1.49964616200009
1952,14.573099166666667,1054.706587,1052.729329328,2107.4359163279996,1.9772576719999506
1953,14.608722499999999,1045.619213,1043.687811267,2089.307024267,1.9314017330000297
1954,14.306114166666667,1030.294868,1033.75353974,2064.0484077399997,-3.4586717399999998
1955,14.304809166666667,1033.759713,1037.70350196,2071.46321496,-3.94378896000012
1956,14.242350833333333,1033.580114,1041.054239095,2074.634353095,-7.474125094999863
1957,14.571085,1060.28026,1068.32070114,2128.60096114,-8.040441139999984
1958,14.584866666666667,1064.343806,1075.2316897,2139.5754957,-10.887883699999975
1959,14.51997,1063.906454,1076.1232202400001,2140.02967424,-12.216766240000197
1960,14.41541,1065.660335,1083.120427138,2148.7807621379998,-17.460092137999936
1961,14.427940833333333,1064.673724,1086.52013681609,2151.19386081609,-21.846412816089924
1962,14.376071666666666,1038.361214,1067.8174907100001,2106.17870471,-29.45627671000011
1963,14.423835833333333,1048.939109,1083.88129522,2132.82040422,-34.94218622000017
1964,14.137980833333334,1002.126248,1040.99683334,2043.12308134,-38.870585339999934
1965,14.2095175,991.287425,1037.09389612,2028.38132112,-45.80647111999997
1966,14.309585833333333,1002.809683,1047.24605974,2050.05574274,-44.436376740000014
1967,14.306835833333333,1009.31633,1041.89279344,2051.20912344,-32.57646344000011
1968,14.31216,1013.4161780000001,1041.94271243,2055.35889043,-28.52653442999997
1969,14.458351666666667,1027.081199,1054.89191135,2081.97311035,-27.81071235000013
1970,14.3854125,1016.103901,1041.2833083360001,2057.387209336,-25.179407336000168
1971,14.166584166666667,988.618685,1014.48335618,2003.10204118,-25.86467117999996
1972,14.356859166666666,1021.149983,1042.470299467,2063.620282467,-21.320316466999884
1973,14.44196,1036.385514,1044.8081622490001,2081.1936762490004,-8.422648249000076
1974,14.157208333333333,1016.649202,1026.46006799,2043.10926999,-9.810865990000025
1975,14.183878333333332,996.574541,1010.415458391,2006.9899993909999,-13.840917391000062
1976,14.109184166666667,983.03289,1000.0683455,1983.1012354999998,-17.035455500000012
1977,14.437876666666666,988.966629,1002.66980192,1991.63643092,-13.703172920000043
1978,14.3512425,977.0292,994.70574456,1971.7349445599998,-17.676544560000025
1979,14.465815833333334,986.562787,998.52307666,1985.08586366,-11.960289660000058
1980,14.661045833333333,995.1254,1023.091363958,2018.216763958,-27.965963957999975
1981,14.619599166666667,976.250031,1008.46002064,1984.71005164,-32.20998964
1982,14.349755,980.309849,1009.2750731835,1989.5849221835,-28.965224183500027
1983,14.546058333333333,985.332808,1013.2621553946001,1998.5949633946002,-27.929347394600086
1984,14.388090833333333,990.103633,1008.14034167,1998.24397467,-18.036708670000053
1985,14.362110833333332,984.543105,1003.37635358,1987.91945858,-18.83324858000003
1986,14.447495833333333,1004.202995,1011.94191253,2016.14490753,-7.738917529999981
1987,14.545685833333334,1000.621122,1013.6193453,2014.2404673,-12.99822329999995
1988,14.598680833333333,1007.9318460000001,1017.8209376,2025.7527836,-9.889091599999915
1989,14.463316666666667,995.681818,1007.3551892200001,2003.03700722,-11.673371220000035
1990,14.652268333333334,991.715247,1023.116756764,2014.832003764,-31.401509764000025
1991,14.650156666666666,983.203369,1013.74444223,1996.9478112299998,-30.541073230000052
1992,14.425076666666667,997.906888,1026.149563183,2024.056451183,-28.242675183000074
1993,14.366679166666668,1004.3517410000001,1023.158220676,2027.509961676,-18.80647967599998
1994,14.440586666666666,1006.761134,1028.565517218,2035.3266512179998,-21.804383217999998
1995,14.637841666666667,1018.909877,1036.47496185,2055.38483885,-17.56508484999995
1996,14.5126075,1035.1192839999999,1048.296012378,2083.4152963779998,-13.176728378000007
1997,14.6904075,1033.392727,1043.777997152,2077.170724152,-10.385270151999975
1998,14.883795,1039.76583,1051.58940297,2091.35523297,-11.823572969999987
1999,14.617015,1026.03919,1036.873809662,2062.912999662,-10.834619662000023
2000,14.617818333333334,1032.8442440000001,1052.077256744,2084.921500744,-19.23301274399978
2001,14.781740000000001,1034.303687,1047.35725988,2081.6609468799998,-13.05357287999982
2002,14.843913333333333,1033.534076,1047.75279445,2081.2868704499997,-14.218718450000097
2003,14.863968333333334,1029.124835,1049.026812041,2078.151647041,-19.90197704100001
2004,14.782156666666667,1032.3094449999999,1054.569982534,2086.8794275339997,-22.26053753400015
2005,14.9549025,1016.496358,1042.422239705,2058.918597705,-25.92588170500005
2006,14.858434166666667,1026.8759830000001,1043.29908729,2070.17507029,-16.423104289999856
2007,14.833448333333333,1036.028208,1044.024776925,2080.0529849249997,-7.99656892500002
2008,14.708995,1025.154997,1036.030488413,2061.185485413,-10.875491412999963
2009,14.863705833333333,1029.572794,1037.594656544,2067.1674505439996,-8.021862543999987
2010,14.920288333333334,1042.234312,1048.8568449699999,2091.09115697,-6.622532969999838
2011,14.780481666666667,1038.007807,1041.59244958,2079.60025658,-3.584642580000036
2012,14.8292725,1043.0079839999999,1044.178557336,2087.186541336,-1.1705733360001886
2013,14.8676925,1040.7365340000001,1041.75667202,2082.49320602,-1.0201380199998766
2014,14.925278333333333,1044.047692,1047.4992285008,2091.5469205008003,-3.4515365007998753
2015,15.0617175,1050.440566,1056.74624512216,2107.18681112216,-6.305679122159972
2016,15.246474166666665,1045.262985,1047.225782135,2092.4887671349998,-1.962797134999846
2017,15.126536666666667,1044.960869,1052.35274565,2097.31361465,-7.391876650000086
2018,15.020370833333333,1047.897049,1044.966349376,2092.863398376,2.930699623999999
